Created_Date,Complaint_Type,Descriptor
2013-10-24 09:36:14,Illegal Parking,Double Parked Blocking Traffic
2013-10-24 08:45:31,Illegal Parking,Blocked Sidewalk
2013-10-24 08:00:38,Illegal Parking,Posted Parking Sign Violation
2013-10-24 06:04:23,Illegal Parking,Blocked Sidewalk
2013-10-24 04:57:25,Illegal Parking,Posted Parking Sign Violation
2013-10-24 04:08:59,Illegal Parking,Blocked Hydrant
2013-10-23 23:26:47,Illegal Parking,Blocked Hydrant
2013-10-23 23:18:30,Illegal Parking,Blocked Sidewalk
2013-10-23 23:09:50,Illegal Parking,Posted Parking Sign Violation
2013-10-23 23:00:19,Illegal Parking,Commercial Overnight Parking
2013-10-23 22:58:48,Illegal Parking,Commercial Overnight Parking
2013-10-23 21:14:56,Illegal Parking,Blocked Hydrant
2013-10-23 21:13:37,Illegal Parking,Overnight Commercial Storage
2013-10-23 20:37:16,Illegal Parking,Blocked Sidewalk
2013-10-23 19:51:02,Illegal Parking,Posted Parking Sign Violation
2013-10-23 19:32:09,Illegal Parking,Blocked Hydrant
2013-10-23 19:29:42,Illegal Parking,Blocked Sidewalk
2013-10-23 19:27:43,Illegal Parking,Blocked Hydrant
2013-10-23 19:25:09,Illegal Parking,Blocked Hydrant
2013-10-23 19:08:22,Illegal Parking,Blocked Hydrant
2013-10-23 18:13:08,Illegal Parking,Posted Parking Sign Violation
2013-10-23 18:12:04,Illegal Parking,Posted Parking Sign Violation
2013-10-23 18:08:16,Illegal Parking,Overnight Commercial Storage
2013-10-23 18:03:48,Illegal Parking,Blocked Hydrant
2013-10-23 17:55:07,Illegal Parking,Posted Parking Sign Violation
2013-10-23 17:50:03,Illegal Parking,Blocked Hydrant
2013-10-23 17:23:43,Illegal Parking,Overnight Commercial Storage
2013-10-23 15:37:05,Illegal Parking,Double Parked Blocking Traffic
2013-10-23 13:36:44,Illegal Parking,Posted Parking Sign Violation
2013-10-23 12:57:47,Illegal Parking,Double Parked Blocking Traffic
2013-10-23 12:52:55,Illegal Parking,Posted Parking Sign Violation
2013-10-23 12:51:48,Illegal Parking,Double Parked Blocking Traffic
2013-10-23 12:04:24,Illegal Parking,Commercial Overnight Parking
2013-10-23 11:59:18,Illegal Parking,Posted Parking Sign Violation
